product_url,product_name,price,product_category,product_availability,product_brand,image_url,currency,shipping_cost,estimated_fee,ASIN,review,review_count,sales_rank,dimension,weight,ships_from,sold_by,seller
https://www.amazon.com/dp/B08CVQFFRG,TORRAS MoonClimber Compatible for iPhone 12 Pro Max Case [5X Military Armor-Level Shockproof][Three Stand Ways] Protective Slim Hard Clear Phone Case with Sturdy Metal Kickstand 6.7’’-Clear,$30.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,TORRAS,https://images-na.ssl-images-amazon.com/images/I/71QSm3MUBIL._AC_SL1500_.jpg,$,$8.29,$0.00,B08CVQFFRG,"1,385 ratings
4.7 out of 5 stars","1,385 ratings",#493,7.4 x 3.82 x 0.67 inches,2.39 ounces,Amazon,TORRAS®,AD54EWO4N8L4
https://www.amazon.com/dp/B08DY7Y8MG,OtterBox Defender Series SCREENLESS Edition Case for iPhone 12 Pro Max - Black (77-65923),$59.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/610YExSByOL._AC_SL1000_.jpg,$,$8.96,$6.70,B08DY7Y8MG,"1,169 ratings
4.7 out of 5 stars","1,169 ratings",#155,8.27 x 4.33 x 1.57 inches,7.7 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08DY96TCS,OtterBox Symmetry Series Case for iPhone 12 Pro Max - Black (77-65935),$49.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/51uZYIdVB-L._AC_SL1000_.jpg,$,$8.39,$4.48,B08DY96TCS,"1,308 ratings
4.5 out of 5 stars","1,308 ratings",#142,7.95 x 4.25 x 0.83 inches,1.76 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08DY7M44F,OtterBox Commuter Series Case for iPhone 12 Pro Max - Black (77-65927),$39.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/510lINnvICL._AC_SL1000_.jpg,$,$8.58,$3.39,B08DY7M44F,"1,124 ratings
4.7 out of 5 stars","1,124 ratings",#252,8.03 x 4.84 x 1.06 inches,3.2 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08DY91LWR,OtterBox Symmetry Series Case for iPhone 12 & iPhone 12 Pro - Black (77-65913),$49.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/61Ru5rQ%2BE0L._AC_SL1000_.jpg,$,$8.35,$4.49,B08DY91LWR,"1,877 ratings
4.6 out of 5 stars","1,877 ratings",#112,7.1 x 4.4 x 0.8 inches,2.39 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08DY7QB86,OtterBox Prefix Series Case for iPhone 12 Pro Max - Clear (77-66033),$34.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/51BQsPkPhOL._AC_SL1000_.jpg,$,$8.25,$2.98,B08DY7QB86,"161 ratings
4.2 out of 5 stars",161 ratings,"#1,891",6.93 x 4.13 x 0.63 inches,1.41 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08CNPPP4H,tech21 Evo Clear for Apple iPhone 12 Pro Max 5G - Germ Fighting Antimicrobial Phone Case with 10 ft. Drop Protection,$39.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases","In stock on January 20, 2021.
Order it now.",Tech21,https://images-na.ssl-images-amazon.com/images/I/81ePz1%2B-B4L._AC_SL1500_.jpg,$,$8.34,$3.44,B08CNPPP4H,"91 ratings
4.5 out of 5 stars",91 ratings,"#3,797",3.94 x 1.18 x 0.79 inches,1.76 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B07W69KNSZ,OtterBox Commuter Series Case For iPhone 11 Pro Max - Black,$29.91,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/51dSXLbGwzL._AC_SL1000_.jpg,$,$8.52,$0.00,B07W69KNSZ,"9,353 ratings
4.7 out of 5 stars","9,353 ratings",#585,6.45 x 3.34 x 0.55 inches,1.96 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B07V1PC86V,OtterBox Defender Series Screenless Edition Case For iPhone 11 - Black,$34.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/61563tuQyTL._AC_SL1000_.jpg,$,$8.96,$3.46,B07V1PC86V,"12,877 ratings
4.8 out of 5 stars","12,877 ratings",#93,6.4 x 3.51 x 0.6 inches,5.3 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08DY7CS2H,OtterBox Symmetry Clear Series Case for iPhone 12 Pro Max - Shell Shocked (Pink Interference/Iridescent Pink/Shell-Shocked Graphic) (77-65959),$49.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/51GVGHygl7L._AC_SL1000_.jpg,$,$8.32,$4.49,B08DY7CS2H,"92 ratings
4.3 out of 5 stars",92 ratings,"#5,255",7.95 x 4.29 x 0.67 inches,1.13 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B07W3Q2HLX,OtterBox COMMUTER SERIES Case For iPhone 11 - MINT WAY (SURF SPRAY/AQUIFER),$35.96,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/51dhbBpc4PL._AC_SL1000_.jpg,$,$8.51,$3.61,B07W3Q2HLX,"17,119 ratings
4.7 out of 5 stars","17,119 ratings",#173,6.17 x 3.26 x 0.56 inches,1.92 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08DL4L46T,"Speck Products Presidio Perfect-Clear iPhone 12 Pro Max Case, Clear/Clear",$33.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,Speck,https://images-na.ssl-images-amazon.com/images/I/71q4ztjve5L._AC_SL1500_.jpg,$,$8.51,$2.82,B08DL4L46T,"179 ratings
4.5 out of 5 stars",179 ratings,"#1,275",6.42 x 3.35 x 0.31 inches,0.023 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08F3FJH7P,"Speck Products Presidio2 Grip iPhone 12 Pro Max Case, Black/Black/White",$25.08,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,Speck,https://images-na.ssl-images-amazon.com/images/I/714bOZakeVL._AC_SL1500_.jpg,$,$8.49,$0.00,B08F3FJH7P,"98 ratings
4.3 out of 5 stars",98 ratings,"#1,792",8.74 x 4.69 x 0.74 inches,3.2 ounces,Amazon.com,Amazon.com,
https://www.amazon.com/dp/B08L5MZDV1,"UAG Apple iPhone 12 Pro MAX [6.7"" Screen] Limited Edition Case Urban Armor Gear by EGO Tactical - Subdued US Flag Reversed Thin Blue Line",$59.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,UAG,https://images-na.ssl-images-amazon.com/images/I/61Pe67QR7DL._AC_SL1500_.jpg,$,,No Import Fee,B08L5MZDV1,"71 ratings
4.6 out of 5 stars",71 ratings,"#14,932",,3 ounces,EGO Tactical,EGO Tactical,A1UWFPWLCFTK52
https://www.amazon.com/dp/B08DY7MWXR,OtterBox Commuter Series Case for iPhone 12 & iPhone 12 Pro - Ocean Way (Aqua SAIL/Aquifer) (77-80575),$39.95,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,OtterBox,https://images-na.ssl-images-amazon.com/images/I/51KpFHdsaqL._AC_SL1000_.jpg,$,$8.69,$3.42,B08DY7MWXR,"2,197 ratings
4.8 out of 5 stars","2,197 ratings",#36,7.9 x 4.3 x 0.7 inches,5.6 ounces,Amazon.com,Amazon.com,
